74	1969	2321	1532	0
84	88	383	82	0
80	10	176	30	0
76	5	183	34	1
56	27	52	6	0
140	160	290	90	0
150	43	165	83	0
137	40	135	82	0
162	46	145	90	0
170	50	130	98	0
135	28	95	80	0
150	30	110	90	0
110	8	106	75	0
95	10	70	25	0
130	330	490	150	0
120	335	497	153	0
90	290	320	80	0
97	213	294	84	0
6	98	256	49	0
9	33	78	13	0
130	10	53	13	1
356	52	4	4	12
80	30	69	7	6
78	30	43	5	3
111	25	5	3	3
108	90	77	16	21
214	90	10	20	75
110	108	176	106	0
100	49	50	16	6
60	20	85	15	0
90	30	109	20	5
70	15	53	27	0
80	20	60	30	0
96	32	31	19	37
35	63	137	72	0
90	30	309	125	0
11	2	1	0	3
9	1	2	0	3
171	10	1	1	9
120	150	278	32	7
34	2374	3434	1183	12
118	247	231	12	442
115	240	225	11	438
50	8	68	12	4
189	7963	5726	5168	0
130	53	210	23	8
138	50	230	28	8
870	110	262	38	913
164	10	85	11	38
230	34	52	6	65
177	81	90	14	85
50	57	283	61	0
50	43	245	49	0
40	38	230	44	0
130	50	10	1	8
130	53	763	148	14
110	106	162	56	2
105	74	108	35	4
79	68	31	69	17
82	65	38	30	18
82	50	28	82	12
40	15	80	21	0
50	46	270	210	0
255	4610	4496	829	40
130	330	319	76	0
119	97	99	33	0
106	106	101	51	0
190	5	6	1	7
45	67	81	45	0
40	61	75	40	0
101	1291	3017	526	101
40	10	154	10	0
110	45	30	55	4
69	48	78	28	3
50	70	74	30	3
5	2	10	8	6
122	2	15	1	37
98	36	52	11	55
100	38	50	10	55
98	35	48	10	53
382	190	383	940	20
287	150	222	548	15
62	105	52	255	0
65	108	55	257	0
68	110	58	260	0
70	106	60	261	0
72	108	62	265	0
75	110	60	260	0
78	95	57	257	0
80	95	57	250	0
82	95	55	247	0
85	90	58	199	0
85	60	60	245	0
90	62	61	248	0
92	59	56	242	0
86	85	54	135	0
85	86	55	138	0
98	30	20	28	13
52	28	53	3	0
57	30	64	7	0
20	70	52	10	0
18	60	55	12	0
15	62	57	10	0
12	60	60	10	0
15	63	63	10	0
13	66	66	8	0
15	68	69	8	0
270	29	28	4	24
118	22	5	2	30
14	1	1	0	5
78	2	7	1	16
180	4	4	0	27
94	65	103	22	0
178	102	170	28	0
180	95	170	30	0
217	105	170	30	0
237	109	180	35	0
247	115	180	37	0
257	112	184	36	0
118	63	130	23	0
130	65	131	24	0
120	10	109	5	244
26	20	51	8	0
29	130	7	10	0
34	141	7	12	0
125	919	1498	164	70
120	910	1490	160	68
210	0	0	1	10
34	105	145	92	0
22	8	80	70	0
30	10	115	105	0
20	5	120	110	0
28	195	650	65	12
130	24	21	4	12
4141	172	74	18	488
3337	51	43	10	276
815	63	35	8	209
20	175	40	60	0
22	177	43	53	0
22	175	40	53	0
25	180	43	55	0
20	182	45	58	0
25	190	46	60	0
75	192	48	60	0
47	130	18	188	0
52	140	25	192	0
55	144	25	194	0
57	147	28	198	0
60	150	30	201	0
62	157	32	207	0
65	160	35	210	0
35	114	108	207	0
3161	250	1069	216	924
12	160	1	340	0
15	175	2	360	0
20	185	3	385	0
23	192	6	397	0
28	198	8	402	0
20	202	9	410	0
23	208	12	418	0
27	212	15	422	0
30	215	18	425	0
290	273	173	156	66
62	122	12	228	0
65	125	15	230	0
20	80	60	102	0
25	90	75	110	0
20	95	82	98	0
22	98	85	102	0
20	102	88	105	0
20	104	92	109	0
15	101	95	101	0
22	96	102	95	0
16	190	155	110	0
98	36	55	11	0
491	912	3256	367	3177
243	539	2104	253	2170
61	56	49	45	2
35	122	3	162	0
120	50	52	25	1
39	171	4	175	0
48	160	3	160	0
35	140	4	149	0
40	144	4	155	0
42	135	4	136	0
35	140	4	136	0
33	135	4	132	0
30	130	4	132	0
33	130	5	130	0
35	125	6	130	0
35	80	52	96	0
40	70	55	101	0
50	80	72	129	0
