H2	CH4	C2H4	C2H6	C2H2
25	30	2	3	0
26	6	13	1	0
25	1	2	1	0
11	2	1	0	3
9	1	2	0	3
8	0	0	0	0
20	97	20	176	0
6	5	0	0	0
39	7	7	19	0
6	1	2	0	0
7	1	10	0	0
10	1	11	0	0
7	1	4	0	0
8	1	5	1	0
171	10	1	1	9
30	20	10	15	0
16	3	0	0	0
16	3	0	0	0
20	6	0	0	0
10	5	2	4	0
15	6	3	2	0
20	30	4	6	0
25	26	5	25	0
22	36	3	40	0
20	110	10	120	0
15	20	5	30	0
20	30	20	12	0
10	8	1	2	0
13	28	1	19	0
15	54	1	10	0
12	15	1	1	0
5	0	0	0	0
1	0	0	0	0
120	150	278	32	7
15	60	8	12	0
10	5	0	1	0
25	16	5	53	0
30	20	10	19	0
90	20	4	21	0
10	3	0	0	0
12	2	0	0	0
20	64	2	35	0
18	3	30	1	0
15	0	0	0	0
5	0	0	0	0
28	7	2	23	0
25	0	1	20	0
30	18	1	8	0
25	17	1	0	0
25	2	2	4	0
22	0	1	1	0
35	10	0	0	0
36	7	1	1	0
25	5	1	1	0
25	0	0	10	0
25	63	10	58	0
23	64	13	60	0
80	12	1	2	0
79	12	0	1	0
25	54	10	79	0
16	53	8	82	0
25	1	0	4	0
7	0	0	0	0
23	2	3	1	0
10	6	2	0	0
20	5	2	7	0
23	0	2	2	0
25	2	2	5	0
27	2	0	0	0
25	15	1	5	0
26	14	2	2	0
25	10	0	0	0
25	6	1	1	0
30	12	1	2	0
25	11	0	0	0
25	15	2	2	0
21	15	2	7	0
5	5	13	2	0
34	2374	3434	1183	12
15	5	2	4	0
25	10	0	0	0
76	0	5	0	0
78	0	5	0	0
15	0	0	0	0
50	10	10	0	0
52	5	10	0	0
15	0	6	0	0
83	0	0	0	0
20	0	0	0	0
15	0	0	0	0
90	3	1	0	0
25	0	2	1	0
25	0	2	1	0
77	10	0	0	0
76	5	0	1	0
35	0	0	1	0
57	10	0	5	0
45	5	0	5	0
46	0	0	1	0
72	0	0	0	0
16	0	1	0	0
15	0	1	0	0
72	10	8	0	0
10	0	0	0	0
74	9	8	0	0
76	19	8	1	0
118	247	231	12	442
115	240	225	11	438
55	0	0	0	0
45	0	0	0	0
41	0	0	0	0
13	1	0	0	0
10	1	0	0	0
19	9	5	3	0
15	5	0	13	0
12	0	0	0	0
17	16	1	0	0
17	5	1	0	0
12	2	0	0	0
14	5	0	1	0
10	1	0	0	0
12	1	0	0	0
50	8	68	12	4
68	3	1	1	0
60	3	2	2	0
61	2	2	2	0
110	5	5	90	0
12	6	1	1	0
11	2	0	0	0
12	0	2	2	0
20	10	1	10	0
13	6	0	0	0
71	80	44	43	0
25	37	12	15	0
189	7963	5726	5168	0
10	20	5	7	0
10	2	2	1	1
10	2	0	0	0
10	3	1	0	0
10	1	0	0	0
12	30	30	40	0
22	80	3	40	0
20	10	5	20	0
20	62	5	25	0
15	10	1	0	0
10	5	0	0	0
18	50	8	65	0
